Titulo do Projeto;ID Issue;ID Pergunta;Titulo;Respondida;Respostas;Data da criação;Link;Tags
tensorflow/tensorflow;1;41166681;What does global_step mean in Tensorflow?;True;4;2016-12-15 11:32:18;https://stackoverflow.com/questions/41166681/what-does-global-step-mean-in-tensorflow;tensorflow, deep-learning;
tensorflow/tensorflow;1;51912999;Could not install packages due to an EnvironmentError: [WinError 5] Access is denied:;True;26;2018-08-18 19:26:06;https://stackoverflow.com/questions/51912999/could-not-install-packages-due-to-an-environmenterror-winerror-5-access-is-de;tensorflow;
tensorflow/tensorflow;1;37091899;How to *actually* read CSV data in TensorFlow?;True;5;2016-05-07 14:57:38;https://stackoverflow.com/questions/37091899/how-to-actually-read-csv-data-in-tensorflow;python, csv, tensorflow;
tensorflow/tensorflow;1;42244198;ImportError: No module named tensorflow;True;18;2017-02-15 05:30:59;https://stackoverflow.com/questions/42244198/importerror-no-module-named-tensorflow;python, module, installation, tensorflow, pip;
tensorflow/tensorflow;1;34220532;How to assign a value to a TensorFlow variable?;True;9;2015-12-11 06:51:46;https://stackoverflow.com/questions/34220532/how-to-assign-a-value-to-a-tensorflow-variable;python, tensorflow, neural-network, deep-learning, variable-assignment;
tensorflow/tensorflow;1;36162180;Gradient Descent vs Adagrad vs Momentum in TensorFlow;True;3;2016-03-22 15:16:38;https://stackoverflow.com/questions/36162180/gradient-descent-vs-adagrad-vs-momentum-in-tensorflow;tensorflow, deep-learning;
tensorflow/tensorflow;1;37337728;TensorFlow: InternalError: Blas SGEMM launch failed;True;16;2016-05-20 01:00:45;https://stackoverflow.com/questions/37337728/tensorflow-internalerror-blas-sgemm-launch-failed;tensorflow, blas;
tensorflow/tensorflow;1;34001922;FailedPreconditionError: Attempting to use uninitialized in Tensorflow;True;11;2015-11-30 11:41:20;https://stackoverflow.com/questions/34001922/failedpreconditionerror-attempting-to-use-uninitialized-in-tensorflow;python, pandas, classification, tensorflow;
tensorflow/tensorflow;1;38286717;TensorFlow - regularization with L2 loss, how to apply to all weights, not just last one?;True;3;2016-07-09 19:00:33;https://stackoverflow.com/questions/38286717/tensorflow-regularization-with-l2-loss-how-to-apply-to-all-weights-not-just;machine-learning, neural-network, tensorflow, deep-learning, regularized;
tensorflow/tensorflow;1;35336648;List of tensor names in graph in Tensorflow;True;6;2016-02-11 07:24:57;https://stackoverflow.com/questions/35336648/list-of-tensor-names-in-graph-in-tensorflow;python, tensorflow;
tensorflow/tensorflow;1;44544766;How do I check if keras is using gpu version of tensorflow?;True;3;2017-06-14 09:25:46;https://stackoverflow.com/questions/44544766/how-do-i-check-if-keras-is-using-gpu-version-of-tensorflow;python, tensorflow, neural-network, keras;
tensorflow/tensorflow;1;39921607;How to make a custom activation function with only Python in Tensorflow?;True;2;2016-10-07 13:08:19;https://stackoverflow.com/questions/39921607/how-to-make-a-custom-activation-function-with-only-python-in-tensorflow;python, tensorflow, neural-network, deep-learning, activation-function;
tensorflow/tensorflow;1;47220595;Why the 6 in relu6?;True;3;2017-11-10 07:25:06;https://stackoverflow.com/questions/47220595/why-the-6-in-relu6;tensorflow;
tensorflow/tensorflow;1;38810424;How does one debug NaN values in TensorFlow?;True;9;2016-08-06 23:47:03;https://stackoverflow.com/questions/38810424/how-does-one-debug-nan-values-in-tensorflow;python, machine-learning, neural-network, tensorflow, conv-neural-network;
tensorflow/tensorflow;1;47262955;How to import keras from tf.keras in Tensorflow?;True;8;2017-11-13 08:11:11;https://stackoverflow.com/questions/47262955/how-to-import-keras-from-tf-keras-in-tensorflow;python, tensorflow, deep-learning, keras;
tensorflow/tensorflow;1;41651628;Negative dimension size caused by subtracting 3 from 1 for &#39;Conv2D&#39;;True;8;2017-01-14 12:27:53;https://stackoverflow.com/questions/41651628/negative-dimension-size-caused-by-subtracting-3-from-1-for-conv2d;python, tensorflow, keras;
tensorflow/tensorflow;1;42317075;Tensorflow r1.0 : could not a find a version that satisfies the requirement tensorflow;True;10;2017-02-18 12:28:43;https://stackoverflow.com/questions/42317075/tensorflow-r1-0-could-not-a-find-a-version-that-satisfies-the-requirement-tens;python, windows, tensorflow, installation;
tensorflow/tensorflow;1;46135499;How to Properly Combine TensorFlow&#39;s Dataset API and Keras?;True;6;2017-09-09 19:02:40;https://stackoverflow.com/questions/46135499/how-to-properly-combine-tensorflows-dataset-api-and-keras;tensorflow, keras;
tensorflow/tensorflow;1;57381430;&quot;synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / &#39;(1,)type&#39;.&quot; problem in TensorFlow;True;7;2019-08-06 14:43:46;https://stackoverflow.com/questions/57381430/synonym-of-type-is-deprecated-in-a-future-version-of-numpy-it-will-be-underst;python, python-3.x, numpy, tensorflow, artificial-intelligence;
tensorflow/tensorflow;1;46291253;What is the difference between a sigmoid followed by the cross entropy and sigmoid_cross_entropy_with_logits in TensorFlow?;True;1;2017-09-19 00:23:43;https://stackoverflow.com/questions/46291253/what-is-the-difference-between-a-sigmoid-followed-by-the-cross-entropy-and-sigmo;machine-learning, tensorflow, classification, cross-entropy, sigmoid;
tensorflow/tensorflow;2;34199233;How to prevent tensorflow from allocating the totality of a GPU memory?;True;16;2015-12-10 07:19:51;https://stackoverflow.com/questions/34199233/how-to-prevent-tensorflow-from-allocating-the-totality-of-a-gpu-memory;python, tensorflow, tensorflow2.0, tensorflow2.x, nvidia-titan;
tensorflow/tensorflow;2;35911252;Disable Tensorflow debugging information;True;13;2016-03-10 05:32:58;https://stackoverflow.com/questions/35911252/disable-tensorflow-debugging-information;python, tensorflow;
tensorflow/tensorflow;2;58441514;Why is TensorFlow 2 much slower than TensorFlow 1?;True;2;2019-10-17 19:28:33;https://stackoverflow.com/questions/58441514/why-is-tensorflow-2-much-slower-than-tensorflow-1;python, tensorflow, keras, performance-testing, tensorflow2.0;
tensorflow/tensorflow;2;34619177;What does tf.nn.conv2d do in tensorflow?;True;6;2016-01-05 15:51:56;https://stackoverflow.com/questions/34619177/what-does-tf-nn-conv2d-do-in-tensorflow;neural-network, tensorflow;
tensorflow/tensorflow;2;33932901;What&#39;s the purpose of tf.app.flags in TensorFlow?;True;5;2015-11-26 04:34:17;https://stackoverflow.com/questions/33932901/whats-the-purpose-of-tf-app-flags-in-tensorflow;python, tensorflow;
tensorflow/tensorflow;2;45682010;docker : invalid reference format;True;7;2017-08-14 16:49:10;https://stackoverflow.com/questions/45682010/docker-invalid-reference-format;docker;
tensorflow/tensorflow;2;40666316;How to get Tensorflow tensor dimensions (shape) as int values?;True;6;2016-11-17 19:37:28;https://stackoverflow.com/questions/40666316/how-to-get-tensorflow-tensor-dimensions-shape-as-int-values;python, tensorflow, machine-learning, artificial-intelligence;
tensorflow/tensorflow;2;51912999;Could not install packages due to an EnvironmentError: [WinError 5] Access is denied:;True;26;2018-08-18 19:26:06;https://stackoverflow.com/questions/51912999/could-not-install-packages-due-to-an-environmenterror-winerror-5-access-is-de;tensorflow;
tensorflow/tensorflow;2;37091899;How to *actually* read CSV data in TensorFlow?;True;5;2016-05-07 14:57:38;https://stackoverflow.com/questions/37091899/how-to-actually-read-csv-data-in-tensorflow;python, csv, tensorflow;
tensorflow/tensorflow;2;42244198;ImportError: No module named tensorflow;True;18;2017-02-15 05:30:59;https://stackoverflow.com/questions/42244198/importerror-no-module-named-tensorflow;python, module, installation, tensorflow, pip;
tensorflow/tensorflow;2;42217059;tensorflow:AttributeError: &#39;module&#39; object has no attribute &#39;mul&#39;;True;4;2017-02-13 23:52:26;https://stackoverflow.com/questions/42217059/tensorflowattributeerror-module-object-has-no-attribute-mul;python, tensorflow;
tensorflow/tensorflow;2;36162180;Gradient Descent vs Adagrad vs Momentum in TensorFlow;True;3;2016-03-22 15:16:38;https://stackoverflow.com/questions/36162180/gradient-descent-vs-adagrad-vs-momentum-in-tensorflow;tensorflow, deep-learning;
tensorflow/tensorflow;2;37337728;TensorFlow: InternalError: Blas SGEMM launch failed;True;16;2016-05-20 01:00:45;https://stackoverflow.com/questions/37337728/tensorflow-internalerror-blas-sgemm-launch-failed;tensorflow, blas;
tensorflow/tensorflow;2;36193553;Get the value of some weights in a model trained by TensorFlow;True;3;2016-03-24 01:58:58;https://stackoverflow.com/questions/36193553/get-the-value-of-some-weights-in-a-model-trained-by-tensorflow;tensorflow;
tensorflow/tensorflow;2;35151207;How to interpret Poolallocator messages in tensorflow?;True;2;2016-02-02 07:42:45;https://stackoverflow.com/questions/35151207/how-to-interpret-poolallocator-messages-in-tensorflow;machine-learning, tensorflow;
tensorflow/tensorflow;2;39921607;How to make a custom activation function with only Python in Tensorflow?;True;2;2016-10-07 13:08:19;https://stackoverflow.com/questions/39921607/how-to-make-a-custom-activation-function-with-only-python-in-tensorflow;python, tensorflow, neural-network, deep-learning, activation-function;
tensorflow/tensorflow;2;37383812;TensorFlow, &quot;&#39;module&#39; object has no attribute &#39;placeholder&#39;&quot;;True;20;2016-05-23 03:20:20;https://stackoverflow.com/questions/37383812/tensorflow-module-object-has-no-attribute-placeholder;python, machine-learning, tensorflow;
tensorflow/tensorflow;2;38810424;How does one debug NaN values in TensorFlow?;True;9;2016-08-06 23:47:03;https://stackoverflow.com/questions/38810424/how-does-one-debug-nan-values-in-tensorflow;python, machine-learning, neural-network, tensorflow, conv-neural-network;
tensorflow/tensorflow;2;46135499;How to Properly Combine TensorFlow&#39;s Dataset API and Keras?;True;6;2017-09-09 19:02:40;https://stackoverflow.com/questions/46135499/how-to-properly-combine-tensorflows-dataset-api-and-keras;tensorflow, keras;
tensorflow/tensorflow;2;41651628;Negative dimension size caused by subtracting 3 from 1 for &#39;Conv2D&#39;;True;8;2017-01-14 12:27:53;https://stackoverflow.com/questions/41651628/negative-dimension-size-caused-by-subtracting-3-from-1-for-conv2d;python, tensorflow, keras;
tensorflow/tensorflow;2;42326748;tensorflow on GPU: no known devices, despite cuda&#39;s deviceQuery returning a &quot;PASS&quot; result;True;6;2017-02-19 08:36:37;https://stackoverflow.com/questions/42326748/tensorflow-on-gpu-no-known-devices-despite-cudas-devicequery-returning-a-pas;tensorflow;
tensorflow/tensorflow;2;41124353;ImportError: Could not import the Python Imaging Library (PIL) required to load image files on tensorflow;True;5;2016-12-13 12:07:15;https://stackoverflow.com/questions/41124353/importerror-could-not-import-the-python-imaging-library-pil-required-to-load;python, python-2.7, tensorflow, python-imaging-library, pillow;
tensorflow/tensorflow;2;34972142;sklearn Logistic Regression &quot;ValueError: Found array with dim 3. Estimator expected &lt;= 2.&quot;;True;2;2016-01-24 01:13:32;https://stackoverflow.com/questions/34972142/sklearn-logistic-regression-valueerror-found-array-with-dim-3-estimator-expec;python, scikit-learn, logistic-regression;
tensorflow/tensorflow;2;38342651;Faster RCNN for TensorFlow;True;1;2016-07-13 01:23:25;https://stackoverflow.com/questions/38342651/faster-rcnn-for-tensorflow;tensorflow, detection, caffe, pycaffe;
tensorflow/tensorflow;2;40430186;TensorFlow ValueError: Cannot feed value of shape (64, 64, 3) for Tensor u&#39;Placeholder:0&#39;, which has shape &#39;(?, 64, 64, 3)&#39;;True;2;2016-11-04 16:10:36;https://stackoverflow.com/questions/40430186/tensorflow-valueerror-cannot-feed-value-of-shape-64-64-3-for-tensor-uplace;python, numpy, tensorflow, deep-learning;
tensorflow/tensorflow;2;40879504;How to apply Drop Out in Tensorflow to improve the accuracy of neural network?;True;2;2016-11-30 00:00:39;https://stackoverflow.com/questions/40879504/how-to-apply-drop-out-in-tensorflow-to-improve-the-accuracy-of-neural-network;neural-network, tensorflow, deep-learning;
tensorflow/tensorflow;2;39890147;Keras uses way too much GPU memory when calling train_on_batch, fit, etc;True;3;2016-10-06 04:34:16;https://stackoverflow.com/questions/39890147/keras-uses-way-too-much-gpu-memory-when-calling-train-on-batch-fit-etc;memory, tensorflow, keras, theano;
tensorflow/tensorflow;2;36927607;How can I solve &#39;ran out of gpu memory&#39; in TensorFlow;True;7;2016-04-28 21:28:24;https://stackoverflow.com/questions/36927607/how-can-i-solve-ran-out-of-gpu-memory-in-tensorflow;tensorflow;
tensorflow/tensorflow;2;56460901;Keras difference between generator and sequence;True;2;2019-06-05 09:53:48;https://stackoverflow.com/questions/56460901/keras-difference-between-generator-and-sequence;python, tensorflow, keras, generator;
tensorflow/tensorflow;2;36584907;Tensor flow toggle between CPU/GPU;True;5;2016-04-12 19:06:22;https://stackoverflow.com/questions/36584907/tensor-flow-toggle-between-cpu-gpu;tensorflow;
tensorflow/tensorflow;3;34199233;How to prevent tensorflow from allocating the totality of a GPU memory?;True;16;2015-12-10 07:19:51;https://stackoverflow.com/questions/34199233/how-to-prevent-tensorflow-from-allocating-the-totality-of-a-gpu-memory;python, tensorflow, tensorflow2.0, tensorflow2.x, nvidia-titan;
tensorflow/tensorflow;3;34619177;What does tf.nn.conv2d do in tensorflow?;True;6;2016-01-05 15:51:56;https://stackoverflow.com/questions/34619177/what-does-tf-nn-conv2d-do-in-tensorflow;neural-network, tensorflow;
tensorflow/tensorflow;3;41265035;TensorFlow, why there are 3 files after saving the model?;True;4;2016-12-21 11:23:58;https://stackoverflow.com/questions/41265035/tensorflow-why-there-are-3-files-after-saving-the-model;tensorflow;
tensorflow/tensorflow;3;40666316;How to get Tensorflow tensor dimensions (shape) as int values?;True;6;2016-11-17 19:37:28;https://stackoverflow.com/questions/40666316/how-to-get-tensorflow-tensor-dimensions-shape-as-int-values;python, tensorflow, machine-learning, artificial-intelligence;
tensorflow/tensorflow;3;37091899;How to *actually* read CSV data in TensorFlow?;True;5;2016-05-07 14:57:38;https://stackoverflow.com/questions/37091899/how-to-actually-read-csv-data-in-tensorflow;python, csv, tensorflow;
tensorflow/tensorflow;3;42217059;tensorflow:AttributeError: &#39;module&#39; object has no attribute &#39;mul&#39;;True;4;2017-02-13 23:52:26;https://stackoverflow.com/questions/42217059/tensorflowattributeerror-module-object-has-no-attribute-mul;python, tensorflow;
tensorflow/tensorflow;3;37337728;TensorFlow: InternalError: Blas SGEMM launch failed;True;16;2016-05-20 01:00:45;https://stackoverflow.com/questions/37337728/tensorflow-internalerror-blas-sgemm-launch-failed;tensorflow, blas;
tensorflow/tensorflow;3;46135499;How to Properly Combine TensorFlow&#39;s Dataset API and Keras?;True;6;2017-09-09 19:02:40;https://stackoverflow.com/questions/46135499/how-to-properly-combine-tensorflows-dataset-api-and-keras;tensorflow, keras;
tensorflow/tensorflow;3;41651628;Negative dimension size caused by subtracting 3 from 1 for &#39;Conv2D&#39;;True;8;2017-01-14 12:27:53;https://stackoverflow.com/questions/41651628/negative-dimension-size-caused-by-subtracting-3-from-1-for-conv2d;python, tensorflow, keras;
tensorflow/tensorflow;3;34972142;sklearn Logistic Regression &quot;ValueError: Found array with dim 3. Estimator expected &lt;= 2.&quot;;True;2;2016-01-24 01:13:32;https://stackoverflow.com/questions/34972142/sklearn-logistic-regression-valueerror-found-array-with-dim-3-estimator-expec;python, scikit-learn, logistic-regression;
tensorflow/tensorflow;3;40430186;TensorFlow ValueError: Cannot feed value of shape (64, 64, 3) for Tensor u&#39;Placeholder:0&#39;, which has shape &#39;(?, 64, 64, 3)&#39;;True;2;2016-11-04 16:10:36;https://stackoverflow.com/questions/40430186/tensorflow-valueerror-cannot-feed-value-of-shape-64-64-3-for-tensor-uplace;python, numpy, tensorflow, deep-learning;
tensorflow/tensorflow;3;48428415;ImportError: libcublas.so.9.0: cannot open shared object file;True;11;2018-01-24 14:30:16;https://stackoverflow.com/questions/48428415/importerror-libcublas-so-9-0-cannot-open-shared-object-file;python-3.x, tensorflow, cuda, keras;
tensorflow/tensorflow;3;43833081;AttributeError: &#39;module&#39; object has no attribute &#39;computation&#39;;True;5;2017-05-07 12:07:57;https://stackoverflow.com/questions/43833081/attributeerror-module-object-has-no-attribute-computation;python, python-2.7, import, module, keras;
tensorflow/tensorflow;3;53698035;Failed to get convolution algorithm. This is probably because cuDNN failed to initialize,;True;24;2018-12-09 21:19:00;https://stackoverflow.com/questions/53698035/failed-to-get-convolution-algorithm-this-is-probably-because-cudnn-failed-to-in;python, tensorflow, keras, cudnn;
tensorflow/tensorflow;3;61922334;How to solve &quot;AttributeError: module &#39;google.protobuf.descriptor&#39; has no attribute &#39;_internal_create_key&quot;?;True;4;2020-05-20 17:28:10;https://stackoverflow.com/questions/61922334/how-to-solve-attributeerror-module-google-protobuf-descriptor-has-no-attribu;python, tensorflow, protocol-buffers, object-detection-api, proto;
tensorflow/tensorflow;3;52943489;what is XLA_GPU and XLA_CPU for tensorflow;True;1;2018-10-23 04:32:41;https://stackoverflow.com/questions/52943489/what-is-xla-gpu-and-xla-cpu-for-tensorflow;python, tensorflow, gpu;
tensorflow/tensorflow;3;47157692;How does reduce_sum() work in tensorflow?;True;6;2017-11-07 09:12:19;https://stackoverflow.com/questions/47157692/how-does-reduce-sum-work-in-tensorflow;python, tensorflow, multidimensional-array, reduce, tensor;
tensorflow/tensorflow;3;46066850;Understanding the ResourceExhaustedError: OOM when allocating tensor with shape;True;5;2017-09-06 01:35:47;https://stackoverflow.com/questions/46066850/understanding-the-resourceexhaustederror-oom-when-allocating-tensor-with-shape;tensorflow, tensorflow-gpu;
tensorflow/tensorflow;3;35955144;Working with multiple graphs in TensorFlow;True;6;2016-03-12 04:50:29;https://stackoverflow.com/questions/35955144/working-with-multiple-graphs-in-tensorflow;tensorflow;
tensorflow/tensorflow;3;33648322;Tensorflow image reading &amp; display;True;8;2015-11-11 07:09:45;https://stackoverflow.com/questions/33648322/tensorflow-image-reading-display;python, tensorflow;
tensorflow/tensorflow;3;44829085;Tensorflow not running on GPU;True;3;2017-06-29 12:17:16;https://stackoverflow.com/questions/44829085/tensorflow-not-running-on-gpu;tensorflow, keras, nvidia, cudnn;
tensorflow/tensorflow;3;41482913;&#39;module&#39; object has no attribute &#39;SummaryWriter&#39;;True;4;2017-01-05 07:43:17;https://stackoverflow.com/questions/41482913/module-object-has-no-attribute-summarywriter;python, python-2.7, tensorflow;
tensorflow/tensorflow;3;38399609;tensorflow deep neural network for regression always predict same results in one batch;True;2;2016-07-15 12:14:08;https://stackoverflow.com/questions/38399609/tensorflow-deep-neural-network-for-regression-always-predict-same-results-in-one;python, neural-network, regression, tensorflow;
tensorflow/tensorflow;3;35451948;Clarification on tf.Tensor.set_shape();True;1;2016-02-17 05:57:43;https://stackoverflow.com/questions/35451948/clarification-on-tf-tensor-set-shape;tensorflow;
tensorflow/tensorflow;3;33720645;Why is this TensorFlow implementation vastly less successful than Matlab&#39;s NN?;True;2;2015-11-15 11:12:06;https://stackoverflow.com/questions/33720645/why-is-this-tensorflow-implementation-vastly-less-successful-than-matlabs-nn;python, matlab, neural-network, tensorflow;
tensorflow/tensorflow;3;44744737;tensorflow Mac OS gpu support;True;4;2017-06-25 05:50:10;https://stackoverflow.com/questions/44744737/tensorflow-mac-os-gpu-support;macos, tensorflow, tensorflow-gpu;
tensorflow/tensorflow;3;41813665;Tensorflow Slim: TypeError: Expected int32, got list containing Tensors of type &#39;_Message&#39; instead;True;4;2017-01-23 15:58:11;https://stackoverflow.com/questions/41813665/tensorflow-slim-typeerror-expected-int32-got-list-containing-tensors-of-type;python, machine-learning, tensorflow, computer-vision, deep-learning;
tensorflow/tensorflow;3;47057361;How do I mask a loss function in Keras with the TensorFlow backend?;True;2;2017-11-01 11:37:46;https://stackoverflow.com/questions/47057361/how-do-i-mask-a-loss-function-in-keras-with-the-tensorflow-backend;keras, lstm, masking, loss-function;
tensorflow/tensorflow;3;49083984;ValueError: Can not squeeze dim[1], expected a dimension of 1, got 3 for &#39;sparse_softmax_cross_entropy_loss;True;5;2018-03-03 09:14:42;https://stackoverflow.com/questions/49083984/valueerror-can-not-squeeze-dim1-expected-a-dimension-of-1-got-3-for-sparse;python, tensorflow;
tensorflow/tensorflow;3;46663013;What is y_true and y_pred when creating a custom metric in Keras?;True;3;2017-10-10 06:18:40;https://stackoverflow.com/questions/46663013/what-is-y-true-and-y-pred-when-creating-a-custom-metric-in-keras;tensorflow, keras;
keras-team/keras;3;49524396;Keras ConvLSTM2D: ValueError on output layer;True;1;2018-03-27 21:41:45;https://stackoverflow.com/questions/49524396/keras-convlstm2d-valueerror-on-output-layer;python, tensorflow, keras, conv-neural-network, lstm;
keras-team/keras;3;54751574;understanding output shape of keras Conv2DTranspose;True;2;2019-02-18 13:29:40;https://stackoverflow.com/questions/54751574/understanding-output-shape-of-keras-conv2dtranspose;keras, layer, shapes;
keras-team/keras;3;51652690;ImportError: cannot import name normalize_data_format;True;7;2018-08-02 08:38:22;https://stackoverflow.com/questions/51652690/importerror-cannot-import-name-normalize-data-format;python, tensorflow, github, keras, importerror;
keras-team/keras;3;48320171;Create a custom regularizer on weights of 2 layers;False;0;2018-01-18 08:24:44;https://stackoverflow.com/questions/48320171/create-a-custom-regularizer-on-weights-of-2-layers;keras, regularized;
keras-team/keras;3;50468940;Tensorflow 1.8, tf.keras gives different result in DCGAN from Keras;False;0;2018-05-22 10:27:18;https://stackoverflow.com/questions/50468940/tensorflow-1-8-tf-keras-gives-different-result-in-dcgan-from-keras;tensorflow, keras;
keras-team/keras;3;56073362;How to create an autoencoder where each layer of encoder should represent the same as a layer of the decoder;True;1;2019-05-10 05:13:16;https://stackoverflow.com/questions/56073362/how-to-create-an-autoencoder-where-each-layer-of-encoder-should-represent-the-sa;keras, autoencoder, regularized;
keras-team/keras;3;57340341;Keras error when trying to replicate Python results;True;1;2019-08-03 13:48:37;https://stackoverflow.com/questions/57340341/keras-error-when-trying-to-replicate-python-results;python, r, keras;
keras-team/keras;3;58311682;How to concatenate embeddings with variable length inputs in Keras?;True;1;2019-10-09 17:18:40;https://stackoverflow.com/questions/58311682/how-to-concatenate-embeddings-with-variable-length-inputs-in-keras;machine-learning, keras, neural-network, deep-learning, embedding;
keras-team/keras;3;58882929;Fine-Tune Universal Sentence Encoder Large with TF2;True;1;2019-11-15 15:42:29;https://stackoverflow.com/questions/58882929/fine-tune-universal-sentence-encoder-large-with-tf2;tensorflow2.0;
keras-team/keras;3;60598421;tf.Keras custom layer output shape is None;True;1;2020-03-09 07:14:37;https://stackoverflow.com/questions/60598421/tf-keras-custom-layer-output-shape-is-none;tensorflow, keras;
keras-team/keras;3;60634839;Using tf.hub.KerasLayer in TF 2.1 Functional API throws ValueError: Python inputs incompatible with input_signature:;True;1;2020-03-11 08:20:24;https://stackoverflow.com/questions/60634839/using-tf-hub-keraslayer-in-tf-2-1-functional-api-throws-valueerror-python-input;python, tensorflow, tensorflow-hub, tensorflow2.x;
keras-team/keras;3;63414587;ValueError: Shapes must be equal rank, but are 1 and 0 From merging shape 1 with other shapes. for &#39;loss/AddN&#39;;False;1;2020-08-14 11:20:13;https://stackoverflow.com/questions/63414587/valueerror-shapes-must-be-equal-rank-but-are-1-and-0-from-merging-shape-1-with;python, tensorflow, keras, autoencoder, loss-function;
keras-team/keras;3;48069947;How embeddings_initializer of Embeddings instance in keras is set;True;1;2018-01-02 22:12:59;https://stackoverflow.com/questions/48069947/how-embeddings-initializer-of-embeddings-instance-in-keras-is-set;keras;
keras-team/keras;3;50289628;Use keras in multiprocessing;True;2;2018-05-11 06:51:31;https://stackoverflow.com/questions/50289628/use-keras-in-multiprocessing;python, tensorflow, keras, multiprocessing;
keras-team/keras;3;51945823;Adding multiple hidden layers keras;True;1;2018-08-21 06:40:35;https://stackoverflow.com/questions/51945823/adding-multiple-hidden-layers-keras;python-3.x, keras, nlp, deep-learning, sentiment-analysis;
keras-team/keras;3;53613984;RNNCell with output and state of different sizes;False;0;2018-12-04 10:22:46;https://stackoverflow.com/questions/53613984/rnncell-with-output-and-state-of-different-sizes;python, tensorflow, keras;
keras-team/keras;3;53809944;Keras Functional API Multiple Input Model;False;2;2018-12-17 03:28:11;https://stackoverflow.com/questions/53809944/keras-functional-api-multiple-input-model;python, keras, keras-layer, flatten, batch-normalization;
keras-team/keras;3;54101593;Conditional Batch Normalization in Keras;True;1;2019-01-08 21:15:46;https://stackoverflow.com/questions/54101593/conditional-batch-normalization-in-keras;python, tensorflow, machine-learning, keras, keras-layer;
keras-team/keras;3;55185945;Any conda or pip operation give SSL Error in windows 10;True;1;2019-03-15 12:30:12;https://stackoverflow.com/questions/55185945/any-conda-or-pip-operation-give-ssl-error-in-windows-10;python, anaconda, conda;
keras-team/keras;3;57557438;ValueError: Output tensors to a Model must be the output of a Keras `Layer` when creating ensemble of pre-trained model;True;2;2019-08-19 10:10:23;https://stackoverflow.com/questions/57557438/valueerror-output-tensors-to-a-model-must-be-the-output-of-a-keras-layer-when;python-3.x, tensorflow, keras;
keras-team/keras;3;58933151;as_list() is not defined on an unknown TensorShape;True;1;2019-11-19 08:33:25;https://stackoverflow.com/questions/58933151/as-list-is-not-defined-on-an-unknown-tensorshape;python, tensorflow, machine-learning, tensorflow-datasets, tfrecord;
keras-team/keras;3;59520807;Multi-class weighted loss for semantic image segmentation in keras/tensorflow;True;3;2019-12-29 12:40:16;https://stackoverflow.com/questions/59520807/multi-class-weighted-loss-for-semantic-image-segmentation-in-keras-tensorflow;tensorflow, keras, deep-learning, semantic-segmentation;
keras-team/keras;3;59791364;keras Conv2d value error: Negative dimension size;True;1;2020-01-17 13:31:06;https://stackoverflow.com/questions/59791364/keras-conv2d-value-error-negative-dimension-size;tensorflow, keras, keras-layer, tf.keras;
